PROFILE_TEXT,OCCUPATIONAL CATEGORY,LABEL
3rd year college level domestic helper production worker domestic helper production worker no experience,Warehouse and Logistics,0
high school graduate sales clerk sales clerk cashier,Production and Manufacturing,1
high school graduate bottle sorter beautician no experience,Warehouse and Logistics,0
vocational graduate sales associate professional sales clerk sales associate professional sales clerk gasoline pump boy,Sales/Service/Retail,2
1st year college level office cleaner office cleaner no experience,Clerical and Administrative,3
college graduate service crew computer literate no experience,Sales/Service/Retail,2
high school graduate service crew computer literate no experience,Sales/Service/Retail,2
grade xii for k to 12 utility worker utility worker no experience,Sales/Service/Retail,2
vocational undergraduate bottle sorter production worker computer literate sewing dresses tailoring beautician enumerator,Warehouse and Logistics,0
1st year college level bottle sorter computer literate carpentry work no experience,Warehouse and Logistics,0
2nd year college level bottle sorter welder no experience,Warehouse and Logistics,0
1st year college level bottle sorter bottle sorter no experience,Warehouse and Logistics,0
high school graduate bottle sorter production worker computer literate data encoder,Warehouse and Logistics,0
1st year college level service crew computer literate receptionist general,Sales/Service/Retail,2
college graduate office clerk computer literate no experience,Sales/Service/Retail,2
vocational graduate enumerator data encoder cashier bottle sorter production worker computer literate assistant registration officer gov cashier,Warehouse and Logistics,0
1st year college level service crew computer literate no experience,Sales/Service/Retail,2
vocational graduate service crew computer literate service crew,Sales/Service/Retail,2
college graduate janitress bagger production worker domestic chores assistant secretary,Production and Manufacturing,1
vocational undergraduate warehouse helper warehouse helper security guard,Warehouse and Logistics,0
grade xii for k to 12 service crew computer literate domestic chores no experience,Sales/Service/Retail,2
4th year college level human resource development clerk store helper production worker computer literate domestic chores private tutor,Warehouse and Logistics,0
grade xi for k to 12 bottle sorter bottle sorter no experience,Warehouse and Logistics,0
college graduate customer service assistant sales clerk customer service assistant sales clerk no experience,Warehouse and Logistics,0
college graduate data encoder office clerk food repacker computer literate office clerk,Sales/Service/Retail,2
2nd year college level warehouse helper computer literate domestic chores no experience,Warehouse and Logistics,0
grade xii for k to 12 cashier service crew computer literate sales clerk,Sales/Service/Retail,2
high school graduate warehouse helper warehouse helper production worker,Warehouse and Logistics,0
high school graduate bottle sorter bottle sorter surface mount technology machine operator,Warehouse and Logistics,0
3rd year college level hotel housekeeping attendant production helper domestic chores production helper,Warehouse and Logistics,0
high school graduate saleslady saleslady sales clerk,Warehouse and Logistics,0
high school graduate domestic helper domestic chores domestic helper,Production and Manufacturing,1
college graduate data encoder store helper computer literate problem solving adaptibility collaboration strong workethic time management critical thinking accounts officer,Sales/Service/Retail,2
2nd year college level warehouse helper painter artist no experience,Warehouse and Logistics,0
2nd year college level bottle sorter computer literate no experience,Warehouse and Logistics,0
high school graduate forklift operator forklift operator guidance coordinator i gov,Warehouse and Logistics,0
high school graduate bottle sorter bottle sorter shop assistant,Warehouse and Logistics,0
2nd year college level service crew computer literate formal service waiter,Sales/Service/Retail,2
vocational graduate merchandiser merchandiser no experience,Warehouse and Logistics,0
3rd year college level cashier computer literate treasury assistant,Sales/Service/Retail,2
college graduate production worker production worker no experience,Production and Manufacturing,1
college graduate kitchen helper bottle sorter computer literate domestic chores no experience,Warehouse and Logistics,0
high school graduate cashier service crew computer literate sales associate professional,Sales/Service/Retail,2
3rd year college level bottle sorter production worker domestic chores no experience,Warehouse and Logistics,0
2nd year college level cashier computer literate embroidery domestic chores cashier,Sales/Service/Retail,2
grade xii for k to 12 production worker production worker no experience,Production and Manufacturing,1
grade xii for k to 12 service crew production worker computer literate service crew,Production and Manufacturing,1
1st year high school grade vii for k to 12 production helper production helper no experience,Production and Manufacturing,1
high school graduate cashier bottle sorter domestic chores cook general sales clerk,Warehouse and Logistics,0
vocational graduate mail sorter production worker mail sorter production worker no experience,Warehouse and Logistics,0
4th year high school grade x for k to 12 bottle sorter bottle sorter no experience,Warehouse and Logistics,0
grade xii for k to 12 cashier cashier waitress,Warehouse and Logistics,0
1st year college level sales clerk sales clerk sales clerk,Warehouse and Logistics,0
3rd year college level receptionist general customer service assistant sales clerk computer literate service crew,Warehouse and Logistics,0
2nd year college level production worker production worker secretary general,Production and Manufacturing,1
college graduate office clerk office clerk office clerk,Production and Manufacturing,1
grade xii for k to 12 service crew service crew no experience,Sales/Service/Retail,2
college graduate service crew utility worker production worker painting jobs embroidery domestic chores painter artist domestic helper,Production and Manufacturing,1
college graduate bottle sorter bottle sorter no experience,Warehouse and Logistics,0
3rd year college level service crew computer literate domestic chores production worker,Sales/Service/Retail,2
high school graduate mail sorter mail sorter mail sorter,Warehouse and Logistics,0
high school graduate warehouse clerk warehouse clerk reproduction machine operator,Production and Manufacturing,1
vocational graduate bottle sorter domestic chores promo salesperson domestic helper,Warehouse and Logistics,0
2nd year college level cashier store helper cashier store helper no experience,Sales/Service/Retail,2
2nd year college level bottle sorter driving auto mechanic no experience,Warehouse and Logistics,0
college graduate administrative assistant administrative assistant no experience,Clerical and Administrative,3
high school graduate bottle sorter bottle sorter hand packer,Warehouse and Logistics,0
high school graduate warehouse helper warehouse helper cashier,Warehouse and Logistics,0
2nd year college level service crew salesman service crew salesman sanitation inspector i gov,Sales/Service/Retail,2
4th year college level warehouse helper warehouse helper no experience,Warehouse and Logistics,0
college graduate bottle sorter computer literate export import letters of credit assistant i gov administrative assistant administrative assistant,Warehouse and Logistics,0
2nd year college level inventory clerk painting jobs painter artist office clerk,Sales/Service/Retail,2
1st year college level bottle sorter online selling agent beautician,Warehouse and Logistics,0
high school graduate warehouse helper domestic chores saleslady,Warehouse and Logistics,0
college graduate social worker general computer literate domestic chores gardening no experience,Warehouse and Logistics,0
college graduate warehouse helper warehouse helper no experience,Warehouse and Logistics,0
elementary graduate construction laborer driving carpentry work no experience,Warehouse and Logistics,0
vocational graduate utility worker utility worker forklift operator,Sales/Service/Retail,2
college graduate office clerk computer literate no experience,Production and Manufacturing,1
2nd year college level service crew welder production worker service crew welder production worker production worker,Sales/Service/Retail,2
2nd year college level production worker production worker no experience,Production and Manufacturing,1
college graduate production worker computer literate driving domestic chores no experience,Production and Manufacturing,1
3rd year college level office clerk service crew office clerk service crew no experience,Sales/Service/Retail,2
high school graduate service crew kitchen crew embroidery gardening hotel cleaner,Sales/Service/Retail,2
4th year high school grade x for k to 12 service crew computer literate painting jobs gardening service crew,Production and Manufacturing,1
high school graduate sales clerk production worker sales clerk production worker no experience,Production and Manufacturing,1
high school graduate bagger bagger no experience,Sales/Service/Retail,2
1st year college level office clerk cashier service crew field interviewer domestic helper production worker domestic chores domestic helper,Sales/Service/Retail,2
high school graduate accounts officer office clerk accounts officer office clerk no experience,Clerical and Administrative,3
1st year college level service crew service crew production worker,Sales/Service/Retail,2
college graduate bagger computer literate bagger,Production and Manufacturing,1
grade xii for k to 12 warehouseman production helper warehouseman production helper no experience,Warehouse and Logistics,0
college graduate cashier computer literate cashier service crew,Sales/Service/Retail,2
high school graduate service crew service crew store manager,Clerical and Administrative,3
high school graduate sales representative i gov data encoder sales representative i gov data encoder cashier,Clerical and Administrative,3
college graduate human resource development clerk bagger computer literate no experience,Warehouse and Logistics,0
5th year college level cashier service crew sales clerk computer literate no experience,Sales/Service/Retail,2
high school graduate cashier sales clerk cashier sales clerk sales clerk,Sales/Service/Retail,2
college graduate security guard computer literate no experience,Sales/Service/Retail,2
college graduate office clerk cashier computer literate cashier timekeeper,Clerical and Administrative,3
college graduate accounting clerk computer literate no experience,Warehouse and Logistics,0
college graduate customer service assistant hotel housekeeping attendant customer service assistant hotel housekeeping attendant no experience,Sales/Service/Retail,2
2nd year college level hotel housekeeping attendant production worker computer literate driving domestic chores no experience,Production and Manufacturing,1
high school graduate warehouse clerk production helper warehouse clerk production helper purchasing clerk,Production and Manufacturing,1
1st year college level stock clerk sales clerk stock clerk sales clerk checker,Sales/Service/Retail,2
4th year high school grade x for k to 12 receptionist general service crew auto mechanic photography painter artist no experience,Sales/Service/Retail,2
college graduate technical assistant technical assistant liaison officer,Sales/Service/Retail,2
high school graduate service crew service crew no experience,Clerical and Administrative,3
high school graduate service crew service crew cashier,Sales/Service/Retail,2
high school graduate quality assurance staff cashier service crew production worker electrician quality control assurance officer,Sales/Service/Retail,2
high school graduate welder welder no experience,Production and Manufacturing,1
college graduate office clerk office clerk no experience,Warehouse and Logistics,0
high school graduate sales associate professional sales associate professional sales associate professional,Production and Manufacturing,1
high school graduate service crew domestic chores housekeeper hotel and resorts,Sales/Service/Retail,2
4th year high school grade x for k to 12 hotel housekeeping attendant service crew domestic chores hotel receptionist,Sales/Service/Retail,2
grade xii for k to 12 cashier merchandiser cashier merchandiser no experience,Sales/Service/Retail,2
3rd year college level service crew service crew no experience,Sales/Service/Retail,2
grade xii for k to 12 production helper computer literate no experience,Production and Manufacturing,1
2nd year college level office clerk office clerk no experience,Clerical and Administrative,3
college graduate production worker production worker electrical helper,Production and Manufacturing,1
2nd year college level audit assistant office clerk call center agent service crew sales clerk production worker computer literate no experience,Sales/Service/Retail,2
high school graduate service crew driving butcher general,Sales/Service/Retail,2
high school graduate service crew sales clerk computer literate production worker,Sales/Service/Retail,2
1st year college level service crew kitchen crew service crew kitchen crew no experience,Production and Manufacturing,1
4th year college level barista beautician domestic chores service crew,Sales/Service/Retail,2
high school graduate service crew service crew no experience,Sales/Service/Retail,2
college graduate food and beverage manager food and beverage manager no experience,Sales/Service/Retail,2
college graduate office clerk office clerk no experience,Sales/Service/Retail,2
high school graduate service crew service crew bagger,Sales/Service/Retail,2
1st year college level office clerk computer literate log sorter,Sales/Service/Retail,2
4th year college level customer service assistant call center agent carpentry work masonry painting jobs embroidery domestic chores gardening no experience,Sales/Service/Retail,2
college graduate technical support staff computer literate no experience,Production and Manufacturing,1
1st year high school grade vii for k to 12 production worker production worker no experience,Production and Manufacturing,1
high school graduate delivery helper delivery helper no experience,Warehouse and Logistics,0
college graduate storekeeper computer literate cashier,Sales/Service/Retail,2
vocational graduate merchandiser gardening merchandiser,Sales/Service/Retail,2
1st year college level promo salesperson computer literate no experience,Sales/Service/Retail,2
college graduate hotel housekeeping attendant domestic chores no experience,Sales/Service/Retail,2
high school graduate production worker domestic chores no experience,Production and Manufacturing,1
college graduate office clerk computer literate domestic chores no experience,Sales/Service/Retail,2
high school graduate production worker production worker domestic cleaner,Production and Manufacturing,1
1st year college level service crew service crew no experience,Sales/Service/Retail,2
college graduate graphic designer production worker computer literate graphic designer,Clerical and Administrative,3
college graduate cash collector cash collector no experience,Production and Manufacturing,1
2nd year high school grade viii for k to 12 bagger computer literate production worker,Production and Manufacturing,1
grade xii for k to 12 warehouse clerk warehouse helper computer literate no experience,Sales/Service/Retail,2
3rd year college level warehouse clerk checker computer literate no experience,Production and Manufacturing,1
college graduate office clerk office clerk no experience,Clerical and Administrative,3
college graduate quality control assistant computer literate domestic chores no experience,Production and Manufacturing,1
grade xii for k to 12 chicken egg producer chicken egg producer no experience,Sales/Service/Retail,2
2nd year college level office clerk service crew computer literate no experience,Sales/Service/Retail,2
high school graduate service crew service crew no experience,Sales/Service/Retail,2
college graduate cashier computer literate no experience,Clerical and Administrative,3
3rd year college level service crew service crew production worker,Sales/Service/Retail,2
3rd year college level service crew service crew production worker,Production and Manufacturing,1
high school graduate welder welder no experience,Sales/Service/Retail,2
2nd year college level accounting clerk computer literate no experience,Sales/Service/Retail,2
high school graduate storeroom clerk service crew bagger storeroom clerk service crew bagger production worker,Warehouse and Logistics,0
college graduate office clerk office clerk no experience,Sales/Service/Retail,2
2nd year college level hotel housekeeping attendant beautician hotel housekeeping attendant,Sales/Service/Retail,2
college graduate sales associate professional computer literate no experience,Sales/Service/Retail,2
high school graduate service crew computer literate beautician front desk clerk,Sales/Service/Retail,2
3rd year high school grade ix for k to 12 warehouse helper warehouse helper no experience,Production and Manufacturing,1
high school graduate electrician general production worker electrician general production worker no experience,Production and Manufacturing,1
college graduate cashier cashier waitress,Sales/Service/Retail,2
grade xii for k to 12 service crew merchandiser sales clerk service crew merchandiser sales clerk no experience,Sales/Service/Retail,2
college graduate office clerk computer literate no experience,Sales/Service/Retail,2
4th year high school grade x for k to 12 office clerk auto mechanic photography painter artist no experience,Sales/Service/Retail,2
college graduate production helper electrician production helper,Production and Manufacturing,1
college graduate data encoder service crew data encoder service crew no experience,Sales/Service/Retail,2
3rd year high school grade ix for k to 12 food attendant food attendant no experience,Sales/Service/Retail,2
high school graduate sales clerk sales clerk no experience,Sales/Service/Retail,2
1st year college level production worker production worker cashier,Production and Manufacturing,1
high school graduate housekeeping manager computer literate service crew,Clerical and Administrative,3
high school graduate sales clerk food repacker domestic chores service crew,Sales/Service/Retail,2
grade xii for k to 12 sales clerk sales clerk no experience,Sales/Service/Retail,2
college graduate office clerk office clerk no experience,Warehouse and Logistics,0
high school graduate warehouse clerk butcher general production helper computer literate driving administrative clerk production helper production helper warehouse clerk,Production and Manufacturing,1
college graduate storeroom clerk computer literate no experience,Production and Manufacturing,1
grade xii for k to 12 service crew service crew production worker,Sales/Service/Retail,2
college graduate sales clerk kitchen crew production worker computer literate enumerator,Sales/Service/Retail,2
grade xii for k to 12 service crew bagger masonry no experience,Warehouse and Logistics,0
grade xii for k to 12 service crew bagger masonry no experience,Warehouse and Logistics,0
college graduate security guard security guard no experience,General Services and Security,4
grade xii for k to 12 bagger bagger no experience,Warehouse and Logistics,0
high school graduate kitchen crew kitchen crew no experience,Sales/Service/Retail,2
1st year college level janitor janitor no experience,General Services and Security,4
1st year college level welder welder computer technician,Production and Manufacturing,1
vocational graduate service crew housekeeping services assistant gov computer literate waiter general,Production and Manufacturing,1
high school graduate production worker domestic chores production worker,Production and Manufacturing,1
college graduate cashier cashier cashier,Sales/Service/Retail,2
high school graduate cashier saleslady production worker auto mechanic beautician domestic chores cashier production worker production worker,Sales/Service/Retail,2
college graduate cashier cashier no experience,Sales/Service/Retail,2
college graduate information technology officer data encoder computer literate no experience,Production and Manufacturing,1
3rd year college level service crew service crew barista,Sales/Service/Retail,2
high school graduate service crew service crew cashier,Sales/Service/Retail,2
college graduate service crew service crew no experience,Sales/Service/Retail,2
1st year college level service crew service crew warehouse clerk,Sales/Service/Retail,2
2nd year college level service crew domestic chores tourist receptionist i gov,Production and Manufacturing,1
1st year college level service crew computer literate cashier,Sales/Service/Retail,2
high school graduate mason general mason general mason general,Production and Manufacturing,1
high school graduate production worker production worker hand packer,Production and Manufacturing,1
college graduate cashier service crew driving no experience,Sales/Service/Retail,2
4th year high school grade x for k to 12 cashier service crew barista computer literate barista,Sales/Service/Retail,2
high school graduate production worker production worker service crew production worker production worker production worker,Warehouse and Logistics,0
2nd year high school grade viii for k to 12 cashier domestic chores gardening cashier,Sales/Service/Retail,2
2nd year high school grade viii for k to 12 cashier domestic chores gardening cashier,Sales/Service/Retail,2
college graduate data encoder data encoder production worker,Production and Manufacturing,1
college graduate kitchen crew computer literate accounting officer,Sales/Service/Retail,2
college graduate cashier computer literate office clerk,Sales/Service/Retail,2
high school graduate welder welder plastic product fabricator messenger,Production and Manufacturing,1
1st year college level cashier cashier cashier,Sales/Service/Retail,2
3rd year college level production worker production worker no experience,Production and Manufacturing,1
high school graduate service crew service crew cashier,Sales/Service/Retail,2
college graduate warehouse clerk computer literate dispatcher sales services,Sales/Service/Retail,2
high school graduate welder welder welder,Production and Manufacturing,1
college graduate inventory clerk production worker inventory clerk production worker office clerk,General Services and Security,4
high school graduate service crew production worker beautician no experience,Production and Manufacturing,1
4th year high school grade x for k to 12 production worker production worker production worker,Production and Manufacturing,1
high school graduate cashier painter artist building painter,Warehouse and Logistics,0
high school graduate production worker computer literate domestic chores no experience,Sales/Service/Retail,2
grade xii for k to 12 cashier cashier no experience,Sales/Service/Retail,2
college graduate human resource management assistant data encoder office clerk computer literate merchandiser production helper,Warehouse and Logistics,0
college graduate office clerk office clerk no experience,Clerical and Administrative,3
3rd year college level office clerk computer literate domestic chores photography production worker,Sales/Service/Retail,2
high school graduate production worker production worker stockman,Warehouse and Logistics,0
high school graduate janitor production worker janitor production worker no experience,Sales/Service/Retail,2
college graduate cashier cashier no experience,Clerical and Administrative,3
high school graduate machine tool machine operator domestic chores machine tool machine operator,Production and Manufacturing,1
high school graduate production worker domestic chores promo salesperson,Production and Manufacturing,1
1st year college level storeroom clerk storeroom clerk cashier,Sales/Service/Retail,2
high school graduate service crew service crew sales associate professional,Sales/Service/Retail,2
college graduate office clerk cashier office clerk cashier no experience,Clerical and Administrative,3
college graduate stock clerk warehouse helper checker computer literate bagger,Sales/Service/Retail,2
1st year college level service crew service crew cook general,Sales/Service/Retail,2
1st year college level production worker production worker no experience,Production and Manufacturing,1
high school graduate production worker production worker saleslady,Production and Manufacturing,1
college graduate customer service assistant computer literate office clerk,Production and Manufacturing,1
2nd year college level sales associate professional sales associate professional no experience,Warehouse and Logistics,0
grade xii for k to 12 cashier gardening cashier,Sales/Service/Retail,2
college graduate cashier computer literate no experience,Sales/Service/Retail,2
4th year high school grade x for k to 12 hotel receptionist computer literate no experience,General Services and Security,4
grade xii for k to 12 enumerator enumerator no experience,Sales/Service/Retail,2
high school graduate bagger computer literate barista,Production and Manufacturing,1
1st year college level cashier cashier no experience,Sales/Service/Retail,2
2nd year college level service crew service crew no experience,Sales/Service/Retail,2
college graduate production worker production worker pastry chef,Production and Manufacturing,1
3rd year college level production worker computer literate production worker,Production and Manufacturing,1
college graduate office clerk office clerk no experience,Sales/Service/Retail,2
grade xii for k to 12 sales clerk kitchen crew food industry production helper,Production and Manufacturing,1
2nd year college level customer service assistant computer literate no experience,Sales/Service/Retail,2
college graduate customer service assistant service crew customer service assistant service crew no experience,Production and Manufacturing,1
1st year college level production worker production worker machine sewer,Clerical and Administrative,3
3rd year college level data encoder data encoder restaurant general manager,Sales/Service/Retail,2
vocational graduate cashier service crew cashier service crew no experience,Sales/Service/Retail,2
vocational graduate cashier service crew cashier service crew no experience,Sales/Service/Retail,2
college graduate office clerk driving electrician painting jobs painter artist warehouseman,Sales/Service/Retail,2
vocational graduate cashier cashier no experience,Sales/Service/Retail,2
college graduate waiter general company driver computer literate boxer,Clerical and Administrative,3
college graduate administrative assistant office clerk cashier sales clerk production worker computer literate no experience,Sales/Service/Retail,2
high school graduate service crew service crew waitress,Sales/Service/Retail,2
high school graduate service crew service crew food repacker,Sales/Service/Retail,2
2nd year college level bagger computer literate production worker,Production and Manufacturing,1
college graduate customer service assistant service crew customer service assistant service crew kitchen crew,General Services and Security,4
vocational graduate store helper store helper service crew,Production and Manufacturing,1
high school graduate production worker production worker production worker,Production and Manufacturing,1
college graduate housekeeper hotel and resorts service crew housekeeper hotel and resorts service crew sales officer,Sales/Service/Retail,2
secondary non k 12 assistant store supervisor assistant store supervisor utility worker,Sales/Service/Retail,2
high school graduate coding clerk cashier production worker coding clerk cashier production worker warehouse helper,Sales/Service/Retail,2
high school graduate machine tool machine operator machine tool machine operator no experience,Production and Manufacturing,1
college graduate customer service assistant customer service assistant no experience,Sales/Service/Retail,2
1st year college level service crew service crew truck helper,Sales/Service/Retail,2
grade vii production worker production worker no experience,Production and Manufacturing,1
college graduate sales associate professional computer literate tailoring photography painter artist saleslady service crew,Sales/Service/Retail,2
high school graduate root vegetable farmer root vegetable farmer vegetable farmer,Production and Manufacturing,1
college graduate mechanic helper mechanic helper no experience,Production and Manufacturing,1
college graduate customer service assistant bagger customer service assistant bagger no experience,General Services and Security,4
college graduate office clerk computer literate teacher secondary education,Clerical and Administrative,3
1st year college level customer service assistant service crew waiter a gov customer service assistant service crew waiter a gov cashier service crew,Clerical and Administrative,3
1st year college level cashier service crew driving no experience,Sales/Service/Retail,2
high school graduate production worker computer literate call center agent,Production and Manufacturing,1
grade xi for k to 12 service crew service crew mechanic,Production and Manufacturing,1
college graduate call center agent call center agent no experience,Sales/Service/Retail,2
grade xii for k to 12 production worker production worker delivery helper,Production and Manufacturing,1
high school graduate cashier cashier no experience,Sales/Service/Retail,2
2nd year high school grade viii for k to 12 store salesperson deliveryman laborer no experience,General Services and Security,4
high school graduate office clerk office clerk no experience,Clerical and Administrative,3
college graduate data encoder data encoder no experience,Clerical and Administrative,3
college graduate call center agent call center agent no experience,Clerical and Administrative,3
grade xii for k to 12 welder electrician welding welder,Production and Manufacturing,1
high school graduate service crew service crew machine tool machine operator,Sales/Service/Retail,2
college graduate service crew computer literate domestic chores operations officer,Sales/Service/Retail,2
4th year high school grade x for k to 12 production worker computer literate no experience,Sales/Service/Retail,2
college graduate office clerk domestic chores no experience,Sales/Service/Retail,2
high school graduate welder computer literate welder,Production and Manufacturing,1
college graduate cashier computer literate cashier,Production and Manufacturing,1
2nd year college level cashier service crew barista cashier service crew barista no experience,Sales/Service/Retail,2
4th year college level technical support staff technical support staff no experience,Clerical and Administrative,3
2nd year college level administration manager labor relations manager kitchen crew utility worker computer literate no experience,Sales/Service/Retail,2
college graduate sales clerk computer literate sales clerk,Clerical and Administrative,3
vocational graduate cashier cashier kitchen crew,Sales/Service/Retail,2
high school graduate bagger carpentry work electrician bagger,Sales/Service/Retail,2
college graduate admission clerk customer service assistant computer literate carpentry work masonry domestic chores gardening painter artist no experience,Production and Manufacturing,1
college graduate customer service assistant service crew customer service assistant service crew financial consultant,Sales/Service/Retail,2
college graduate customer service assistant customer service assistant no experience,Sales/Service/Retail,2
college graduate cashier shop assistant computer literate accounts officer,Sales/Service/Retail,2
grade xii for k to 12 service crew bagger service crew bagger bagger,Warehouse and Logistics,0
high school graduate bagger driving service crew,Warehouse and Logistics,0
college graduate kitchen crew computer literate kitchen crew,Sales/Service/Retail,2
2nd year college level data encoder human resource management clerk administrative assistant office clerk cash collector customer service assistant computer literate no experience,Clerical and Administrative,3
1st year college level cashier computer literate no experience,Clerical and Administrative,3
high school graduate construction laborer production worker auto mechanic office clerk,Production and Manufacturing,1
college graduate office clerk computer literate warehouse clerk retail wholesale establishment salesperson,Production and Manufacturing,1
high school graduate service crew service crew barangay health aide gov,Sales/Service/Retail,2
high school graduate maritime transport service supervisor pilot gov cashier gardening photography no experience,Sales/Service/Retail,2
vocational graduate service crew computer literate service crew,Sales/Service/Retail,2
college graduate accounts officer quality assurance staff administrative assistant office clerk computer literate information technology officer,Production and Manufacturing,1
1st year college level store helper computer literate store helper,Sales/Service/Retail,2
college graduate warehouseman warehouseman production worker,Sales/Service/Retail,2
college graduate office clerk office clerk no experience,Clerical and Administrative,3
2nd year college level production worker computer literate no experience,Sales/Service/Retail,2
college graduate teacher elementary school marketing staff office clerk service crew sewing dresses gardening photography painter artist office clerk office clerk,Clerical and Administrative,3
high school graduate service crew production worker service crew production worker food repacker production worker,Production and Manufacturing,1
college graduate bagger bagger no experience,Sales/Service/Retail,2
2nd year college level welder welder welder,Clerical and Administrative,3
1st year college level service crew computer literate customer service assistant,Sales/Service/Retail,2
college graduate office clerk office clerk no experience,Clerical and Administrative,3
college graduate office clerk office clerk service crew,Sales/Service/Retail,2
2nd year college level service crew production worker service crew production worker no experience,Production and Manufacturing,1
high school graduate storekeeper office clerk bagger computer literate storeroom clerk,Sales/Service/Retail,2
high school graduate bagger production worker bagger production worker mason general,Warehouse and Logistics,0
college graduate production worker production worker machine tool machine operator,Clerical and Administrative,3
college graduate marketing staff inventory clerk computer literate business development officer,Sales/Service/Retail,2
2nd year college level kitchen crew kitchen crew no experience,Sales/Service/Retail,2
2nd year college level service crew photography no experience,Sales/Service/Retail,2
college graduate service crew merchandiser sales clerk service crew merchandiser sales clerk no experience,Sales/Service/Retail,2
high school graduate warehouseman carpentry work line installer,Warehouse and Logistics,0
1st year college level customer service assistant customer service assistant no experience,Sales/Service/Retail,2
grade xii for k to 12 service crew service crew service crew,Sales/Service/Retail,2
high school graduate bagger electrician safety manager,Production and Manufacturing,1
secondary k 12 service crew computer literate food service supervisor,Sales/Service/Retail,2
college graduate industrial engineer computer literate auto mechanic carpentry work masonry electrician painting jobs gardening painter artist chemical process engineer,Production and Manufacturing,1
4th year college level technical support staff technical support staff no experience,Sales/Service/Retail,2
3rd year college level office clerk store salesperson electrician general electrical helper checker electrician electrical helper,Sales/Service/Retail,2
college graduate production worker production worker office clerk,Production and Manufacturing,1
